Food,Category,Amount,Calories,Carbs(in g),Fat(in g),Protein(in g),Meal_type,Region,Type,Categories
Navaratan Kurma,Mtr, 0.333 cup,180,9,14,4,Lunch/Dinner,All Indian,Vegetarian,Healthy
Ayam Kurma,My, 1 piece /125g,179,1,14,13,Lunch/Dinner,All Indian,Vegetarian,Healthy
Kurma mix,Baba's kurma mix, 13 g,57,8,2,2,Lunch/Dinner,All Indian,Vegetarian,Healthy
kurma bertangkai tunisia,kurma noor, 41 gram,120,31,0,1,Lunch/Dinner,All Indian,Vegetarian,Healthy
Peanut Butter,Sundrop, 2 tbsp(3g),188,8,14,7,Snacks,All Indian,Vegetarian,Healthy
Creamy Peanut Butter,Sundrop, 30 g (2 Tablespoon),194,6,16,8,Snacks,All Indian,Vegetarian,Healthy
Peanut Butter -Chunky,Sundrop, 32 gm (2tbs),205,6,16,8,Snacks,All Indian,Vegetarian,Healthy
Peanut Butter (Crunchy),Sundrop, 100 g,641,19,51,26,Snacks,All Indian,Vegetarian,Healthy
Peanut Butter Creamy,Sundrop, 2 tbsp,194,6,16,8,Snacks,All Indian,Vegetarian,Healthy
peanut butter,sundrop peanut butter, 30 gram,196,4,16,9,Snacks,All Indian,Vegetarian,Healthy
Peanut Butter Honey,Sundrop, 30 gm,176,9,13,7,Snacks,All Indian,Vegetarian,Healthy
Peanut Butter (Creamy),Sundrop, 30 gram,194,6,16,8,Snacks,All Indian,Vegetarian,Healthy
Peanut Butter,Sundrop Creamy, 100 gms,645,19,52,25,Snacks,All Indian,Vegetarian,Healthy
Peanut Butter Pri,Sundrop, 30 g,194,6,16,8,Snacks,All Indian,Vegetarian,Healthy
Peanut Butter Crunchy,Sundrop, 30 g,192,6,15,8,Snacks,All Indian,Vegetarian,Healthy
crunchy peanut butter,sundrop, 3 tablespoon,195,4,16,8,Snacks,All Indian,Vegetarian,Healthy
Peanut Butter Regular,Sundrop, 30 g,193,6,15,8,Snacks,All Indian,Vegetarian,Healthy
Sundrop,Natural Peanut butter, 30 gram,196,4,16,9,Snacks,All Indian,Vegetarian,Healthy
Peanut Butter Creamy- New,"Sundrop, 30 g"," 30 g, 2 tbsp",176,9,13,7,Snacks,All Indian,Vegetarian,Healthy
Peanut butter,Sundrop peanut butter 100%natural, 30 gram,200,4,17,8,Snacks,All Indian,Vegetarian,Healthy
Peanut butter,Sundrop regular crunchy peanut butter, 100 gram,642,20,51,26,Snacks,All Indian,Vegetarian,Healthy
Peanut Butter,Sundrop Peanut Butter - Honey Roast Crunchy Flavor, 30 g (2 Tablespoons),176,10,13,6,Snacks,All Indian,Vegetarian,Healthy
Peanut Butter (Honey Roast Crunchy),Sundrop, 100 g,588,32,44,21,Snacks,All Indian,Vegetarian,Healthy
Honey Roast Creamy Peanut Butter,Sundrop, 2 tbsp (32g),188,9,14,8,Snacks,All Indian,Vegetarian,Healthy
Bread,raisin bread, 1 slice,80,15,2,2,Breakfast,All Indian,Vegetarian,Healthy
Bread,Hawaiian Bread, 1 bread,90,16,3,3,Breakfast,All Indian,Vegetarian,Healthy
Bread,Bread farmhouse, 1 slice,120,22,2,4,Breakfast,All Indian,Vegetarian,Healthy
Bread,Danish Bread, 1 Slice,63,12,0,3,Breakfast,All Indian,Vegetarian,Healthy
Bread,giant bread, 2 slices,110,22,2,3,Breakfast,All Indian,Vegetarian,Healthy
Bread,cottage bread, 1 slice,90,17,1,3,Breakfast,All Indian,Vegetarian,Healthy
Bread,Vermont bread, 1 slice,90,15,2,4,Breakfast,All Indian,Vegetarian,Healthy
Bread,Fareway bread, 1 slice,80,16,1,2,Breakfast,All Indian,Vegetarian,Healthy
Bread,Italiano Bread, 1 slice,80,14,1,3,Breakfast,All Indian,Vegetarian,Healthy
Bread,Organic Bread, 1 slice,100,19,1,4,Breakfast,All Indian,Vegetarian,Healthy
Bread,banana bread, 1 slice,200,35,6,4,Breakfast,All Indian,Vegetarian,Healthy
Bread Baguette,Bread, 0.25 baguette,150,30,1,5,Snacks,All Indian,Vegetarian,Healthy
Bread,Panini bread, 1 slice,160,23,4,6,Breakfast,All Indian,Vegetarian,Healthy
Bread,Warburtons bread, 1 slice,113,21,1,5,Breakfast,All Indian,Vegetarian,Healthy
Bread,Hillbilly bread, 2 slices,120,24,2,5,Breakfast,All Indian,Vegetarian,Healthy
Bread,Healthy bread, 1 slice,35,8,0,0,Breakfast,All Indian,Vegetarian,Healthy
Bread,Fitness Bread, 1 slice,120,24,1,4,Breakfast,All Indian,Vegetarian,Healthy
Bread,Bread crust, 1 slice,100,19,1,4,Breakfast,All Indian,Vegetarian,Healthy
Bread,buttermilk bread, 1 cup,100,19,1,3,Breakfast,All Indian,Vegetarian,Healthy
Bread,Mccambridge bread, 1 slice,86,17,1,3,Breakfast,All Indian,Vegetarian,Healthy
Biscuits,Indian Biscuits, 1 pcs,160,19,8,3,Snacks,All Indian,Vegetarian,Healthy
Digestive Biscuits,Digestive biscuits, 1 biscuit,71,9,3,1,Snacks,All Indian,Vegetarian,Healthy
biscuits,ginger biscuits, 1 biscuit,43,0,0,0,Snacks,All Indian,Vegetarian,Healthy
Biscuits,Sugar Biscuits, 1 piece,55,10,1,2,Snacks,All Indian,Vegetarian,Healthy
Biscuits Saida,Biscuits, 100 g,395,69,11,6,Snacks,All Indian,Vegetarian,Healthy
Biscuits,Soda Biscuits, 1 pack,121,20,3,3,Snacks,All Indian,Vegetarian,Healthy
Biscuits,Kokos Biscuits, 100 g,450,74,14,7,Snacks,All Indian,Vegetarian,Healthy
Biscuits,Nonna Biscuits, 2 Biscuits,116,23,1,0,Snacks,All Indian,Vegetarian,Healthy
Biscuits Buttermilk,Biscuits Grands, 1 biscuit,170,26,6,3,Snacks,All Indian,Vegetarian,Healthy
Buttermilk Biscuits (10 Biscuits),Pillsbury, 3 biscuits (64g),150,30,2,4,Snacks,All Indian,Vegetarian,Healthy
Biscuits,Popeyes Chicken & Biscuits, 1 Biscuit (60 g),260,26,15,4,Snacks,All Indian,Vegetarian,Healthy
Biscuits,Quaker Oats breakfast biscuits, 1 biscuit,57,8,2,1,Snacks,All Indian,Vegetarian,Healthy
Biscuits,Cheddar  biscuits, 1 biscuit,170,18,4,2,Snacks,All Indian,Vegetarian,Healthy
Biscuits,Daily Chef Buttermilk Biscuits, 1 biscuit,180,22,9,4,Snacks,All Indian,Vegetarian,Healthy
Biscuits,White Lily Biscuits, 1 biscuit,110,15,5,3,Snacks,All Indian,Vegetarian,Healthy
Biscuits,Christie - Biscuits Tartinables, 5 biscuits (19 g),90,12,4,1,Snacks,All Indian,Vegetarian,Healthy
biscuits,heb flaky biscuits, 1 biscuit,180,26,7,4,Snacks,All Indian,Vegetarian,Healthy
Ginger Biscuits,Munchee Biscuits, 4 biscuits (24g),110,20,3,1,Snacks,All Indian,Vegetarian,Healthy
Biscuits,Pizelle Vanilla Biscuits, 6 cookies,140,19,6,3,Snacks,All Indian,Vegetarian,Healthy
Butterscotch Biscuits,Border Biscuits, 1 biscuit,49,6,2,1,Snacks,All Indian,Vegetarian,Healthy
Cookies,Animal cookies, 16 cookies,120,25,2,2,Snacks,All Indian,Vegetarian,Healthy
Cookies,Knotts cookies, 1 Bag,240,32,11,3,Snacks,All Indian,Vegetarian,Healthy
Cookies,Subway Cookies, 1 Cookie,220,30,10,2,Snacks,All Indian,Vegetarian,Healthy
Cookies,Goya cookies, 5 cookies,130,24,3,2,Snacks,All Indian,Vegetarian,Healthy
Oatmeal Cookies,Dads cookies, 1 package,170,28,6,2,Snacks,All Indian,Vegetarian,Healthy
Nekot Cookies,Nekot cookies, 1 pk,240,32,11,5,Snacks,All Indian,Vegetarian,Healthy
Oreo Cookies,Oreo cookies, 3 cookies,160,25,7,1,Snacks,All Indian,Vegetarian,Healthy
Cookies,frosted sugar cookies, 1 cookie,160,25,6,1,Snacks,All Indian,Vegetarian,Healthy
Taffy Cookies,Mother's Cookies, 2 cookies,190,27,8,2,Snacks,All Indian,Vegetarian,Healthy
Cookies,Bellvita Cookies, 1 pack,230,35,6,4,Snacks,All Indian,Vegetarian,Healthy
Cookies,Ben's Cookies, 1 cookie,160,51,19,0,Snacks,All Indian,Vegetarian,Healthy
cookies,mm cookies, 1 package,230,0,11,0,Snacks,All Indian,Vegetarian,Healthy
Cookies,Trader Joe's cookies, 12 cookies,150,19,9,2,Snacks,All Indian,Vegetarian,Healthy
Cookies,Knotts raspberry cookies, 1 bag,240,32,11,3,Snacks,All Indian,Vegetarian,Healthy
Cookies,Windmill Cookies, 2 cookies,140,18,6,2,Snacks,All Indian,Vegetarian,Healthy
Sesame Cookies,Cookies, 25 g,130,18,6,2,Snacks,All Indian,Vegetarian,Healthy
Cookies,Fiber Cookies, 1 cookie,60,8,3,1,Snacks,All Indian,Vegetarian,Healthy
Cookies,Walnut Cookies, 1 slice,70,8,4,1,Snacks,All Indian,Vegetarian,Healthy
Cookies,Macadamia cookies, 2 cookies,160,18,10,2,Snacks,All Indian,Vegetarian,Healthy
Cookies,Andes mint cookies, 2 cookies,160,22,8,2,Snacks,All Indian,Vegetarian,Healthy
Banana Cake,Home Made Banana Cake, 0.25 of recipe,256,45,4,10,Snacks,All Indian,Vegetarian,Healthy
Cake,Banana Cake, 1 piece,323,61,7,3,Snacks,All Indian,Vegetarian,Healthy
Banana nut cake,Banana nut cake, 1 piece,200,24,12,2,Snacks,All Indian,Vegetarian,Healthy
Banana Cake,Tokyo Banana, 35 g,135,23,4,1,Snacks,All Indian,Vegetarian,Healthy
Banana Cake,graze, 1 punnet,55,7,3,1,Snacks,All Indian,Vegetarian,Healthy
Cake,Greens  banana cake, 1 peice,220,31,9,3,Snacks,All Indian,Vegetarian,Healthy
Banana cake,Banana cake, 1 stick,130,25,2,3,Snacks,All Indian,Vegetarian,Healthy
Banana Cake,Cup Cake, 1 cake,177,0,2,1,Snacks,All Indian,Vegetarian,Healthy
Banana Cake,Jamae Banana Cake, 2.5 oz (1/2 slice),183,24,100,8,Snacks,All Indian,Vegetarian,Healthy
Banana cake,banana stick cake, 42 gram,160,22,5,4,Snacks,All Indian,Vegetarian,Healthy
Banana Cake,Csilla, 1 slice,131,25,1,5,Snacks,All Indian,Vegetarian,Healthy
Banana Cake,Almira's, 1 slice,270,38,11,3,Snacks,All Indian,Vegetarian,Healthy
Banana Cup Cake,Cup Cake, 1 cake,165,12,0,1,Snacks,All Indian,Vegetarian,Healthy
Banana Cake,Homemade, 1 piece,100,18,2,2,Snacks,All Indian,Vegetarian,Healthy
Banana Cake,Entemanns, 0.125 Cake,270,35,14,0,Snacks,All Indian,Vegetarian,Healthy
Banana Cake,Edmonds, 1 piece,228,34,9,3,Snacks,All Indian,Vegetarian,Healthy
Nemo's,Banana Cake, 1 piece,300,45,12,4,Snacks,All Indian,Vegetarian,Healthy
Banana Cake,Entenmann's, 0.125 cake (64g),270,36,14,2,Snacks,All Indian,Vegetarian,Healthy
cake,banana roll cake, 18 g,63,9,2,1,Snacks,All Indian,Vegetarian,Healthy
Banana Cake,Vietnamese, 1 piece,210,49,1,2,Snacks,All Indian,Vegetarian,Healthy
Cake,Marble Cake, 1 Slice,370,67,12,0,Snacks,All Indian,Vegetarian,Healthy
Cake,Cake-davita Cake, 1 piece cooked,209,30,8,2,Snacks,All Indian,Vegetarian,Healthy
Yellow Cake,Yellow cake, 1 slice,250,35,11,3,Snacks,All Indian,Vegetarian,Healthy
Cake,Strawberry Cake, 77 g,310,38,14,2,Snacks,All Indian,Vegetarian,Healthy
Cheese Cake,Cake, 1 serving,231,30,8,9,Snacks,All Indian,Vegetarian,Healthy
Cake,Wedding Cake, 1.5 slice,90,12,5,1,Snacks,All Indian,Vegetarian,Healthy
Choc Cake,Cake, 1 slice,135,19,6,1,Snacks,All Indian,Vegetarian,Healthy
Cake,Starbucks cake pop, 1 cake pop,170,22,9,1,Snacks,All Indian,Vegetarian,Healthy
Cake,Fruit Cake, 0.2 of cake,280,47,9,3,Snacks,All Indian,Vegetarian,Healthy
Cake,Cherry Cake, 1 piece,180,26,7,2,Snacks,All Indian,Vegetarian,Healthy
Cake,Vanilla Cake, 1 cupcake,114,15,10,4,Snacks,All Indian,Vegetarian,Healthy
Cake,Oreo cake, 1 slice,290,45,14,4,Snacks,All Indian,Vegetarian,Healthy
Cake,Fig Cake, 1 piece,183,31,3,3,Snacks,All Indian,Vegetarian,Healthy
Cake,Mouse Cake, 1 piece,302,25,15,3,Snacks,All Indian,Vegetarian,Healthy
cake,rasberry cake, 1 slice,210,28,10,3,Snacks,All Indian,Vegetarian,Healthy
Cake,Cake Slice, 1 slice,177,0,0,0,Snacks,All Indian,Vegetarian,Healthy
Cake,Lava cake, 1 cake,370,47,19,4,Snacks,All Indian,Vegetarian,Healthy
Cake,Galaxy Cake, 60 grams,424,54,21,5,Snacks,All Indian,Vegetarian,Healthy
Cake!,Bday Cake, 1 slice,245,0,0,0,Snacks,All Indian,Vegetarian,Healthy
Cream  cake,Cake, 1 slice,200,29,8,3,Snacks,All Indian,Vegetarian,Healthy
Croissant,Croissant, 1 bolo,180,22,9,3,Snacks,All Indian,Vegetarian,Healthy
croissant ,croissant, 1 bun,180,19,10,3,Snacks,All Indian,Vegetarian,Healthy
Croissant,Generic Croissant, 1 Medium,231,26,12,5,Snacks,All Indian,Vegetarian,Healthy
Croissant Marmellata,Croissant, 1 pz.,201,26,9,3,Snacks,All Indian,Vegetarian,Healthy
Croissant,Lidl Croissant, 100 g,359,38,10,8,Snacks,All Indian,Vegetarian,Healthy
Chocolate Croissant,Chocolate Croissant, 1 Croissant,237,25,14,5,Snacks,All Indian,Vegetarian,Healthy
Croissant Hacendado,Croissant, 1 croissant (37 g),141,12,9,2,Snacks,All Indian,Vegetarian,Healthy
Croissant,Croissant Nature, 160 g,200,25,10,4,Snacks,All Indian,Vegetarian,Healthy
Croissant All'albicocca,Croissant, 1 Porzione,281,35,13,4,Snacks,All Indian,Vegetarian,Healthy
Croissant,Croissant boulanger, 1 unité,180,22,9,3,Snacks,All Indian,Vegetarian,Healthy
Croissant ordinaire,Croissant, 1 croissant,220,24,12,4,Snacks,All Indian,Vegetarian,Healthy
croissant,Croissant IGA, 1 croissant,240,28,11,5,Snacks,All Indian,Vegetarian,Healthy
Cheese Croissant,Croissant, 1 Croissant,240,44,3,7,Snacks,All Indian,Vegetarian,Healthy
Croissant Ciocolata,Croissant, 100 g,443,42,28,7,Snacks,All Indian,Vegetarian,Healthy
Croissant,Sandwich Croissant, 1 each,293,14,20,14,Snacks,All Indian,Vegetarian,Healthy
Croissant,Honey Croissant, 60 g,284,30,16,6,Snacks,All Indian,Vegetarian,Healthy
Ham and Cheese Croissant,Croissant, 1 croissant,350,34,18,14,Snacks,All Indian,Vegetarian,Healthy
Plain Croissant,Pioneer Croissant, 1 Croissant,220,24,11,5,Snacks,All Indian,Vegetarian,Healthy
Petit croissant,Croissant, 4 biscuits,227,34,8,4,Snacks,All Indian,Vegetarian,Healthy
Volkoren Croissant,Volkoren Croissant, 40 gram,170,18,9,0,Snacks,All Indian,Vegetarian,Healthy
Sandwich,Turkey & vegetable sandwich, 1 sandwich,302,29,11,23,Snacks,All Indian,Vegetarian,Healthy
Sandwich,Ham salad sandwich, 1 cup,300,42,7,16,Snacks,All Indian,Vegetarian,Healthy
Turkey Sandwich,Turkey sandwich, 1 sandwich,300,35,7,20,Snacks,All Indian,Vegetarian,Healthy
Sandwich,Brisket Sandwich, 1 sandwich,474,18,16,61,Snacks,All Indian,Vegetarian,Healthy
Sandwich Poulet,Sandwich, 1 sandwich,125,45,22,23,Snacks,All Indian,Vegetarian,Healthy
Tomato Sandwich,Sandwich, 1 sandwich,170,39,2,3,Snacks,All Indian,Vegetarian,Healthy
Sandwich Mixto,Sandwich, 1 unidad,265,40,16,24,Snacks,All Indian,Vegetarian,Healthy
Sandwich,Rueben Sandwich, 1 cup,600,20,18,20,Snacks,All Indian,Vegetarian,Healthy
sandwich americain,sandwich, 100 g,180,20,6,9,Snacks,All Indian,Vegetarian,Healthy
Sandwich saucisson,Sandwich, 100 g,274,32,11,10,Snacks,All Indian,Vegetarian,Healthy
Sandwich,Flounder Sandwich, 1 sandwich,700,0,0,0,Snacks,All Indian,Vegetarian,Healthy
Sandwich Kebap,Sandwich, 100 gr,229,15,12,10,Snacks,All Indian,Vegetarian,Healthy
Chicken Sandwich,mc chicken sandwich, 1 sandwich,360,40,16,14,Snacks,All Indian,Non Vegetarian,Healthy
Chicken Sandwich,Chargrilled chicken sandwich, 1 serving,290,36,4,28,Snacks,All Indian,Non Vegetarian,Healthy
"Sandwich, Veggie Artisan (Starbucks)",Sandwich, 1 sandwich,350,30,18,17,Snacks,All Indian,Eggetarian,Healthy
Sandwich Bun,Nickles Sandwich Bun, 1 Bun,110,20,2,3,Snacks,All Indian,Vegetarian,Healthy
Bbq Pork Sandwich,Lee's Sandwich, 1 Sandwich,690,94,22,26,Snacks,All Indian,Non Vegetarian,Healthy
Putenbrust-Sandwich,Sandwich, 1 Sandwich,185,36,0,12,Snacks,All Indian,Vegetarian,Healthy
Sandwich,Mcdonald's Egg White Sandwich, 1 sandwich,250,32,7,18,Snacks,All Indian,Vegetarian,Healthy
Cajun Turkey Sandwich,Sandwich Shack, 1 each,457,43,24,21,Snacks,All Indian,Vegetarian,Healthy
South Indian Meals,South Indian Meals, 1 Cup,200,0,0,0,Lunch/Dinner,All Indian,Vegetarian,Healthy
South Indian Meals Without Poori & Sweet,Meal, 1 bowl plus side,790,0,0,0,Lunch/Dinner,All Indian,Vegetarian,Healthy
Dosha,South Indian, 1 piece,80,17,0,2,Lunch/Dinner,All Indian,Vegetarian,Healthy
Buttermilk,South Indian, 1 glass,19,1,2,1,Dinner,All Indian,Vegetarian,Healthy
South Indian Curyy,Strength Meals Co, 300 g,489,50,23,30,Lunch/Dinner,All Indian,Vegetarian,Healthy
Sakinalu,South Indian, 2 pieces,200,30,2,2,Lunch/Dinner,All Indian,Vegetarian,Healthy
South Indian Style Prawn Curry,Indian, 3 oz (85g),84,0,1,18,Lunch/Dinner,All Indian,Vegetarian,Healthy
Mysore Pak-South Indian Sweet,Indian, 1 pc,197,26,10,2,Snacks,All Indian,Vegetarian,Healthy
 Prawn Curry,South Indian, 1 cup,375,16,17,41,Lunch/Dinner,All Indian,Vegetarian,Healthy
Lemon Rice,South Indian, 150 g,300,94,20,14,Lunch/Dinner,All Indian,Vegetarian,Healthy
South Indian,Homemade - Idly, 1 idly,39,10,1,2,Lunch/Dinner,All Indian,Vegetarian,Healthy
Thali,South Indian Food, 1 meal,450,0,10,10,Lunch/Dinner,All Indian,Vegetarian,Healthy
Appam,South Indian/Tamil, 1 serving,170,0,0,0,Breakfast,All Indian,Vegetarian,Healthy
Moor Kozhambu,South Indian, 1 cup,137,11,8,0,Lunch/Dinner,All Indian,Vegetarian,Healthy
Puliyogre,South Indian Food, 1 Cup cooked,271,37,10,9,Lunch/Dinner,All Indian,Vegetarian,Healthy
South Indian Food,Uttapam, 1 nos,230,36,6,8,Lunch/Dinner,All Indian,Vegetarian,Healthy
Karapusa,Homemade South Indian, 1 cup,382,59,8,13,Lunch/Dinner,All Indian,Vegetarian,Healthy
Palathalikalu,South Indian, 1 cup,251,30,3,1,Lunch/Dinner,All Indian,Vegetarian,Healthy
South Indian Vattayappam,Generic, 1 slice cake,98,19,2,1,Lunch/Dinner,All Indian,Vegetarian,Healthy
Chakodi,South Indian Food, 1 cup,210,4,12,18,Lunch/Dinner,All Indian,Vegetarian,Healthy
South Indian Meals,South Indian Meals, 1 Cup,200,0,0,0,Lunch/Dinner,All Indian,Vegetarian,Healthy
Chana Bhatura,North Indian, 1 Bhatura + 1/2 cup cooked Chana,525,73,20,15,Lunch/Dinner,North Indian,Vegetarian,Healthy
North Indian Lentil,Zoup, 8 oz,190,28,6,9,Lunch/Dinner,All Indian,Vegetarian,Healthy
North Indian Chicken Curry,Generic, 1 cup,381,9,26,27,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
North Indian Thali,Saravanaa Bhavan, 1 thali meal,800,0,0,0,Lunch/Dinner,All Indian,Vegetarian,Healthy
North Indian Spiced Chicken,Dietlicious, 160 g,244,3,11,21,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
North Indian Samosas,Dosa, 3 oz,210,26,11,3,Lunch/Dinner,North Indian,Vegetarian,Healthy
Gulab,North Indian shakkar, 1 kg,370,91,0,0,Lunch/Dinner,All Indian,Vegetarian,Healthy
North Indian Meal,Marks and Spencer, 0.5 pack,700,85,26,33,Lunch/Dinner,All Indian,Vegetarian,Healthy
Chana Paneer,Exotic North Indian Cuisine, 1 bowl,261,24,17,7,Lunch/Dinner,All Indian,Vegetarian,Healthy
North Indian Paneer & Vegetable Curry,Morrisons, 100 grams,131,15,6,4,Lunch/Dinner,All Indian,Vegetarian,Healthy
North Indian Menu,Marks & Spencer, 500 gr,720,85,26,33,Lunch/Dinner,All Indian,Vegetarian,Healthy
Chicken Curry (North Indian),Kc, 1 drumstick,271,13,14,24,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Day's Food,North Indian Marriage -, 1 thali,3000,0,100,0,Lunch/Dinner,All Indian,Vegetarian,Healthy
North Indian Butter Chicken,Passage Foods, 64 gram,81,10,4,2,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
North Indian tomato relish,morrison's, 15 gram,14,2,1,0,Lunch/Dinner,All Indian,Vegetarian,Healthy
North Indian Vegetable Curry,the City Kitchen, 100 g,130,15,6,2,Lunch/Dinner,All Indian,Vegetarian,Healthy
North Indian Street Chaat,Swad, 1 dish,385,44,18,7,Lunch/Dinner,North Indian,Vegetarian,Healthy
North Indian Seabass,Peel & Coconut, 1 container,195,0,10,26,Lunch/Dinner,All Indian,Vegetarian,Healthy
North Indian Bento,Riverwalk Tandoor, 1 box,705,0,0,0,Lunch/Dinner,All Indian,Vegetarian,Healthy
Khoa,Avin, 1 cup,402,56,14,11,Snacks,All Indian,Vegetarian,Healthy
Khoa/mawa,Nanak, 14 g,45,3,3,2,Snacks,All Indian,Vegetarian,Healthy
phở,khoa, 1 goi,167,36,4,3,Snacks,All Indian,Vegetarian,Healthy
khoa,vijaya, 100 gram,413,21,29,18,Snacks,All Indian,Vegetarian,Healthy
khoa,Aavin, 100 gram,402,56,14,11,Snacks,All Indian,Vegetarian,Healthy
Khoa Burfi,Brar's, 4 pieces (100 g),150,16,8,5,Snacks,All Indian,Vegetarian,Healthy
Plain (Khoa) Burfi,Restaurant, 1 piece,274,23,15,11,Snacks,All Indian,Vegetarian,Healthy
Khoa Milk Product,Generic, 100 g,413,25,26,20,Snacks,All Indian,Vegetarian,Healthy
Mawa,Savera Khoa, 14 g,45,3,3,2,Snacks,All Indian,Vegetarian,Healthy
Khoa Barfi,Brar's, 44 gram,170,14,11,5,Snacks,All Indian,Vegetarian,Healthy
Khoa pera,Bear’s, 44 g (1 pera),180,17,11,5,Snacks,All Indian,Vegetarian,Healthy
Khoa burfee,Vadilal, 1 piece (22g),104,12,4,5,Snacks,All Indian,Vegetarian,Healthy
khoa sweetened (kunda),aadin, 1 cup,402,56,14,11,Snacks,All Indian,Vegetarian,Healthy
3in1 coffee,khoa shong, 6 oz,80,0,2,0,Snacks,All Indian,Vegetarian,Healthy
Khoa Mawah Milk Solids,"Nanak, 1 tbsp"," 1 tbsp, 14g",45,3,3,2,Snacks,All Indian,Vegetarian,Healthy
Milk Khoa,Sri dairy, 100 g,129,18,4,5,Snacks,All Indian,Vegetarian,Healthy
Rau hỗn hợp,Khoa Nguyễn, 101 g,60,0,0,3,Snacks,All Indian,Vegetarian,Healthy
Concentrated milk solids,Nanak khoa/mawa, 1 tbsp,45,3,3,2,Snacks,All Indian,Vegetarian,Healthy
Pal Gova Sweetened Khoa,Aavin, 100 gram,402,56,14,11,Snacks,All Indian,Vegetarian,Healthy
Bánh custas kem sữa,Khoa Nguyễn, 2 pack,100,12,6,2,Snacks,All Indian,Vegetarian,Healthy
Vegetable,Palya, 2 cups,104,11,7,3,Lunch,All Indian,Vegetarian,Healthy
Side Mixed Vegetables,Veg Palya, 1 side,148,15,9,4,Lunch,North Indian,Vegetarian,Healthy
Brinjal Palya,Indian, 88.6 gms,84,0,6,2,Lunch,All Indian,Vegetarian,Healthy
Avarekalu Palya,Homemade, 1 cup (87 g),44,8,0,20,Lunch,All Indian,Vegetarian,Healthy
*Alu Palya*,P-Homemade, 100 gms,99,19,2,2,Lunch,All Indian,Vegetarian,Healthy
Balekai Palya,Homemade, 1 cup cooked,125,0,0,0,Lunch,All Indian,Vegetarian,Healthy
*Sorekai Palya*,P-Homemade, 100 gms,46,5,2,1,Lunch,All Indian,Vegetarian,Healthy
Matodi Palya,Homemade, 1 serving,146,13,8,6,Lunch,All Indian,Vegetarian,Healthy
Cooked Beetroot Palya,Homemade, 1 cup,102,17,4,3,Lunch,All Indian,Vegetarian,Healthy
Mixed Vegetable Curry - Exotic Mixed Vegetable,Kohinoor, 100 g,109,14,5,2,Lunch/Dinner,North Indian,Vegetarian,Healthy
*Padavalkai Palya*,P-Homemade, 100 gms,35,4,1,1,Lunch,All Indian,Vegetarian,Healthy
Frozen,Mixed Vegetable, 0.667 cup,60,12,0,3,Snacks,All Indian,Vegetarian,Healthy
Mixed Vegetable Salad,150g of Mixed Vegetable Salad, 150 g,26,0,0,0,Lunch/Dinner,North Indian,Vegetarian,Healthy
Vegetable,Mixed Vegetable, 100 gram,38,5,1,3,Lunch,All Indian,Vegetarian,Healthy
Mixed Vegetable Salad,Outtakes, 1 each,150,13,9,7,Lunch/Dinner,North Indian,Vegetarian,Healthy
Mixed Vegetable,Sodexo Campus, 3 oz,60,11,1,2,Lunch/Dinner,North Indian,Vegetarian,Healthy
Mixed Vegetable,Tipco, 1 glass,90,21,0,0,Lunch/Dinner,North Indian,Vegetarian,Healthy
Mixed Vegetable Rice,ESS, 200 g,242,53,2,5,Lunch/Dinner,North Indian,Vegetarian,Healthy
Alasande Kalu Palya,Home Made, 1 Cup Cooked,160,0,5,6,Lunch,All Indian,Vegetarian,Healthy
Veg Palya (Beans/cabbage/gourd),Vc's, 0.5 cup cooked,84,7,6,2,Lunch,All Indian,Vegetarian,Healthy
Chicken,Grilled chicken, 4 oz,100,1,2,22,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Grilled Chicken Strips,Grilled, 3 oz,110,0,3,22,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Grilled Chicken 3 oz.,Grilled Chicken, 3 oz,126,0,3,25,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Grilled Chicken Quarter,Grilled Chicken Quarter, 1 quarter,202,1,15,16,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Grilled Chicken,Grilled  Chicken and Asparagus, 1 breast and 1/4 cup of asparagus & onion,190,5,5,31,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Grilled Chicken Adobo,Grilled Chicken Adobo, 1 chicken breast,255,11,7,37,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Grilled Chicken Citrus Salsd,Grilled Chicken, 3 cups,330,39,8,28,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Grilled Chicken,Chipotle Grilled Chicken, 4 oz,190,1,7,32,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
grilled chicken salade,grilled chicken romain, 1 bowl,269,17,5,40,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Grilled Chicken,Outtakes, 3 oz meat,107,0,3,21,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Grilled Chicken,Costco, 2 cups,110,0,2,22,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Grilled Chicken,Tyson, 4 oz,100,1,2,21,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
